apartment_id,area_id,entity_subtype,geometry,elevation,height,orientation,window_area,layout_area,window_floor_ratio,door_connection1,door_connection2,view_landscape_nature_mean,view_landscape_urban_mean
Design2,0,DOOR,"POLYGON((-6.18936690470 17.9041626542,-6.09447551609 17.8726091382,-6.34690364364 17.1134780294,-6.44179503224 17.1450315453,-6.18936690470 17.9041626542))",0,0,0,0,0,0,200,204,0,0
Design2,0,DOOR,"POLYGON((-6.65711887410 16.4950597772,-6.56222748549 16.4635062613,-6.81465561303 15.7043751525,-6.90954700164 15.7359286684,-6.65711887410 16.4950597772))",0,0,0,0,0,0,201,204,0,0
Design2,0,DOOR,"POLYGON((-7.13631125640 14.4296155549,-7.10469712888 14.5244867673,-6.34572742972 14.2715737471,-6.37734155724 14.1767025347,-7.13631125640 14.4296155549))",0,0,0,0,0,0,202,204,0,0
Design2,0,DOOR,"POLYGON((-5.69184221765 13.9498712569,-5.66022809014 14.0447424693,-4.90125839098 13.7918294491,-4.93287251849 13.6969582367,-5.69184221765 13.9498712569))",0,0,0,0,0,0,204,205,0,0
Design2,0,DOOR,"POLYGON((-3.279844776 13.3098514475,-3.02741664846 14.0689825564,-2.88507956555 14.0216522825,-3.13750769309 13.2625211736,-3.279844776 13.3098514475))",0,0,0,0,0,0,204,207,0,0
Design2,0,DOOR,"POLYGON((-2.96096497282 14.2781757391,-2.74009036122 14.9424154594,-2.59775327831 14.8950851854,-2.81862788991 14.2308454652,-2.96096497282 14.2781757391))",0,0,0,0,0,0,204,206,0,0
Design2,0,DOOR,"POLYGON((-3.28542641978 15.3919273219,-4.04455752863 15.6443554495,-4.00038260630 15.7772033935,-3.24125149746 15.5247752660,-3.28542641978 15.3919273219))",0,0,0,0,0,0,204,0,0,0
Design2,0,FLOOR,"POLYGON((6.69472257727 24.8321637852,1.29662667547 8.59838442198,8.76441962234 6.11517570020,3.37151892457 -10.1029800436,-11.3965369112 -5.21117573473,-6.0004875078 11.0164299442,-13.4698456921 13.4949507200,-8.06458981808 29.7502623810,6.69472257727 24.8321637852))",8.7,0,0,0,0,0,0,0,0,0
Design2,0,FLOOR_OUTDOOR_SPACE,"POLYGON((-12.1745039932 13.0633158813,-13.4698456921 13.4949507200,-8.06458981808 29.7502623810,-6.76924811922 29.3186275424,-12.1745039932 13.0633158813))",8.7,0,0,0,0,0,0,0,0,0
Design2,0,FLOOR_OUTDOOR_SPACE,"POLYGON((-10.1011947507 -5.64280918503,-11.3965369112 -5.21117573473,-6.00049326175 11.0164318575,-4.70461115733 10.5864256013,-10.1011947507 -5.64280918503))",8.7,0,0,0,0,0,0,0,0,0
Design3,300,BEDROOM,"POLYGON((-6.02815319841 19.9654101955,-7.31335414324 16.1004050242,-10.5524756677 17.1774856125,-9.26727472289 21.0424907838,-6.02815319841 19.9654101955))",8.7,2.6,West,2.7,13.903486,0.194196,0,0,2.523639,1.018124
Design3,301,BEDROOM,"POLYGON((-8.62942054894 12.1425776632,-7.34490765918 16.0055136356,-10.5840291837 17.0825942239,-11.8692301285 13.2175890525,-8.62942054894 12.1425776632))",8.7,2.6,West,4.5,13.899765,0.323746,0,0,2.357445,1.009544
Design3,302,CORRIDOR,"POLYGON((-2.13451447244 12.8718927857,-1.49515249517 14.7955672379,-5.13204956015 16.0049171191,-5.01359303192 16.3611533139,-6.91144606394 16.9922320282,-7.66923933842 14.7123128985,-2.13451447244 12.8718927857))",8.7,2.6,0,0,12.574511,0,0,0,0,0
Design3,303,BATHROOM,"POLYGON((-4.03543403768 19.3027863607,-5.93326180981 19.9338566795,-6.87986728810 17.0871150213,-4.98203951597 16.4560447025,-4.03543403768 19.3027863607))",8.7,2.6,0,0,6,0,0,0,1.471492,0.595558
Design3,304,KITCHEN,"POLYGON((-5.80323786331 13.9864418968,-6.63627809426 11.4812268069,-8.53450956808 12.1110849526,-7.70079285437 14.6174215099,-5.80323786331 13.9864418968))",8.7,2.6,South,1.8,5.281073,0.34084,0,0,0.336988,0.14653
Design3,305,LIVING_ROOM,"POLYGON((-5.80276816796 13.9862860365,-6.63625905417 11.4812877950,-1.90044770809 9.90979575140,-1.06988815127 12.4132539599,-5.80276816796 13.9862860365))",8.7,2.6,South,1.8,13.164044,0.136736,0,0,0.85942,0.414662
Design3,306,BEDROOM,"POLYGON((-1.75589417074 13.6945128361,-2.03916449086 12.8408084886,-0.927339537621 12.4712543332,-1.78936344108 9.87295683686,1.14199035027 8.90029513109,2.28891377176 12.3494561147,-1.75589417074 13.6945128361))",8.7,2.6,East,5.21997,12.287651,0.424814,0,0,1.68403,0.160028
Design3,307,OUTDOOR_SPACE,"POLYGON((2.69825563982 12.8135254216,3.99386820746 12.3827051711,2.59223924315 8.16756417147,1.29662667547 8.59838442198,2.69825563982 12.8135254216))",8.7,2.6,East,0,6.06504,0,0,0,1.307048,0.124205
Design3,300,WINDOW,"POLYGON((-9.85387597817 20.0397538071,-9.66470375024 20.6091516190,-9.43694462549 20.5334827278,-9.62611685342 19.9640849159,-9.85387597817 20.0397538071))",8.9,10.4,West,0.9,0,0,0,0,0,0
Design3,300,WINDOW,"POLYGON((-10.2322204340 18.9009581833,-10.0430482061 19.4703559952,-9.81528908134 19.3946871041,-10.0044613093 18.8252892922,-10.2322204340 18.9009581833))",8.9,10.4,West,0.9,0,0,0,0,0,0
Design3,300,WINDOW,"POLYGON((-10.6105648899 17.7621625596,-10.4213926619 18.3315603714,-10.1936335372 18.2558914803,-10.3828057651 17.6864936684,-10.6105648899 17.7621625596))",8.9,10.4,West,0.9,0,0,0,0,0,0
Design3,301,WINDOW,"POLYGON((-10.9810662496 16.6491909056,-11.1703873452 16.0798425739,-10.9426480126 16.0041141357,-10.7533269169 16.5734624673,-10.9810662496 16.6491909056))",8.9,10.4,West,0.9,0,0,0,0,0,0
Design3,301,WINDOW,"POLYGON((-11.3597084409 15.5104942423,-11.5490295366 14.9411459106,-11.3212902039 14.8654174724,-11.1319691082 15.4347658040,-11.3597084409 15.5104942423))",8.9,10.4,West,0.9,0,0,0,0,0,0
Design3,301,WINDOW,"POLYGON((-11.7383506322 14.3717975790,-11.9276717279 13.8024492474,-11.6999323952 13.7267208091,-11.5106112996 14.2960691407,-11.7383506322 14.3717975790))",8.9,10.4,West,0.9,0,0,0,0,0,0
Design3,301,WINDOW,"POLYGON((-10.2579736836 12.4300859172,-10.8274428402 12.6190432661,-10.7518599006 12.8468309288,-10.1823907440 12.6578735798,-10.2579736836 12.4300859172))",8.9,10.4,South,0.9,0,0,0,0,0,0
Design3,301,WINDOW,"POLYGON((-9.40376994875 12.1466498938,-9.97323910531 12.3356072427,-9.89765616574 12.5633949054,-9.32818700917 12.3744375564,-9.40376994875 12.1466498938))",8.9,10.4,South,0.9,0,0,0,0,0,0
Design3,304,WINDOW,"POLYGON((-7.98009705733 11.6742565214,-8.54956621389 11.8632138704,-8.47398327432 12.0910015330,-7.90451411775 11.9020441841,-7.98009705733 11.6742565214))",8.9,10.4,South,0.9,0,0,0,0,0,0
Design3,304,WINDOW,"POLYGON((-7.12589332247 11.3908204980,-7.69536247904 11.5797778470,-7.61977953947 11.8075655096,-7.05031038290 11.6186081607,-7.12589332247 11.3908204980))",8.9,10.4,South,0.9,0,0,0,0,0,0
Design3,305,WINDOW,"POLYGON((-5.70222043105 10.9184271257,-6.27168958762 11.1073844746,-6.19610664805 11.3351721373,-5.62663749148 11.1462147883,-5.70222043105 10.9184271257))",8.9,10.4,South,0.9,0,0,0,0,0,0
